epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.18661328427983026,0.9257559958289885,0.6770728192198168,0.7247706422018348
1,0.057375710605953485,0.983524504692388,0.704882869579277,0.7472894078398665
2,0.024560386329555227,0.9949947862356622,0.620670517998203,0.8056713928273561
3,0.012326859662598688,0.997080291970803,0.6574064920205092,0.8081734778982486
4,0.007917624863390971,0.9987486965589155,0.6522246152783951,0.817347789824854
5,0.005497208039924052,0.9991657977059437,0.8260591229465825,0.7723102585487907
6,0.00310095147452122,0.9997914494264859,0.767789682315925,0.7981651376146789
7,0.002640947400581585,0.9997914494264859,0.7290460994782499,0.8131776480400333
8,0.0014065201306493217,1.0,0.757955596633908,0.8090075062552127
9,0.0012336350595641675,1.0,0.7378445308441117,0.8256880733944955
